gene,module_id,stability_score,classification
KCNV2,0,0.792222222,core
KIAA0586,4,0.73875,core
KIAA1549,0,0.795,core
KIF11,5,0.182857143,unstable
KIF1A,1,0.851428571,core
KIF3B,0,0.795,core
KIZ,0,0.795,core
KLC2,1,0.851428571,core
KLHL7,0,0.795,core
LAMA1,4,0.66,peripheral
LAMB1,6,0.7136,core
LAMB2,5,0.57,peripheral
LAMP2,3,0.132244898,unstable
LCA5,6,0.7136,core
LETM1,3,0.182040816,unstable
LIG3,1,0.817857143,core
LRAT,6,0.7136,core
LRIT3,10,0.914,core
LRMDA,8,0.9984,core
LRP2,5,0.117142857,unstable
LRP5,5,0.641428571,peripheral
LRRC32,5,0.137142857,unstable
LRRC8C,3,0,unstable
LYST,8,0.9984,core
LZTFL1,7,0.992,core
MAB21L2,3,0.044897959,unstable
MAG,1,0.851428571,core
MAK,0,0.792222222,core
MAN2B1,3,0,unstable
MAPKAPK3,0,0.795,core
MCAT,0,0.792222222,core
MCOLN1,0,0.416666667,peripheral
MECR,2,0.269019608,unstable
MED12,3,0.217959184,unstable
MERTK,0,0.795,core
MFF,2,0.130196078,unstable
MFN2,1,0.851428571,core
MFRP,0,0.708333333,core
MFSD8,0,0.792222222,core
MIR204,6,0.6864,peripheral
MITF,8,0.9984,core
MKKS,7,0.992,core
MKS1,4,0.73875,core
MMACHC,3,0.137142857,unstable
MPZ,1,0.851428571,core
MSTO1,1,0.514285714,peripheral
MT-ATP6,9,0.863333333,core
MT-CO1,9,0.863333333,core
MT-CO2,9,0.863333333,core
MT-CO3,9,0.863333333,core
MT-CYB,9,0.863333333,core
MT-ND1,9,0.863333333,core
MT-ND2,9,0.863333333,core
MT-ND3,9,0.863333333,core
MT-ND4,9,0.863333333,core
MT-ND4L,9,0.863333333,core
MT-ND5,9,0.863333333,core
MT-ND6,9,0.863333333,core
MT-TE,9,0.113333333,unstable
MT-TH,9,0.863333333,core
MT-TL1,9,0.863333333,core
MT-TP,9,0.003333333,unstable
MT-TS2,9,0.863333333,core
MT-TV,9,0.863333333,core
MTO1,2,0.269019608,unstable
MTRFR,1,0.851428571,core
MVK,3,0.184489796,unstable
MYO7A,11,0.618666667,peripheral
NADK2,3,0.137142857,unstable
NARS2,2,0.269019608,unstable
NBAS,3,0.000816327,unstable
NDP,5,0.641428571,peripheral
NDUFA12,2,0.269019608,unstable
NDUFAF2,9,0.863333333,core
NDUFS2,9,0.863333333,core
NEUROD1,2,0.105882353,unstable
NGLY1,1,0.787142857,core
NMNAT1,6,0.7136,core
NPHP1,7,0.992,core
NPHP4,6,0.152,unstable
NR2E3,0,0.773333333,core
NR2F1,2,0.149019608,unstable
NRL,0,0.726666667,core
NYX,10,0.914,core
OAT,0,0.726666667,core
OCA2,8,0.9984,core
OFD1,4,0.73875,core
OPA1,9,0.863333333,core
OPA3,0,0.792222222,core
OPN1LW,0,0.792222222,core
OPN1MW,0,0.792222222,core
OPN1SW,0,0.792222222,core
OTX2,4,0.15625,unstable
P3H2,5,0.641428571,peripheral
PANK2,1,0.851428571,core
PARS2,2,0.204705882,unstable
PAX2,5,0.204285714,unstable
PAX6,5,0.641428571,peripheral
PCARE,6,0.0048,unstable
PCCB,3,0.137142857,unstable
PCDH15,11,0.618666667,peripheral
PCYT1A,6,0.7136,core
PDE6B,10,0.914,core
PDE6C,12,0.857142857,core
PDE6D,4,0.73875,core
PDE6G,11,0.096,unstable
PDE6H,12,0.857142857,core
PDSS1,2,0,unstable
PDXK,1,0.851428571,core
PEX1,3,0.164081633,unstable
PEX2,3,0.164081633,unstable
PEX6,3,0.164081633,unstable
PEX7,3,0.106122449,unstable
PGK1,2,0.055686275,unstable
PHYH,3,0.106122449,unstable
PISD,3,0.044897959,unstable
PLA2G5,10,0,unstable
PMM2,2,0.069019608,unstable
PNPLA6,4,0.15625,unstable
PNPT1,1,0.851428571,core
POC1B,0,0.792222222,core
POLG,1,0.783571429,core
POMGNT1,5,0.617142857,peripheral
POMT1,5,0.617142857,peripheral
PPP1R21,5,0.032857143,unstable
PPT1,1,0.801428571,core
PRCD,0,0.726666667,core
PROM1,0,0.701666667,core
PRPF3,0,0.125,unstable
PRPF31,0,0.795,core
PRPF8,0,0.795,core
PRPH2,0,0.476666667,peripheral
PRPS1,1,0.851428571,core
PTCD3,2,0.269019608,unstable
PTPN23,2,0.214901961,unstable
PUF60,3,0.24244898,unstable
PYGM,9,0.18,unstable
RAB28,0,0.792222222,core
RAB3GAP1,2,0,unstable
RAX2,0,0.792222222,core
RBP3,11,0.165333333,unstable
RBP4,0,0.792222222,core
RCBTB1,6,0.128,unstable
RD3,6,0.7136,core
RDH12,6,0.7136,core
RDH5,10,0.914,core
REEP6,1,0,unstable
RERE,4,0.03125,unstable
RGS9,11,0.066666667,unstable
RGS9BP,11,0.066666667,unstable
RHO,10,0.914,core
RIMS2,10,0.754,core
RLBP1,10,0.914,core
RNF170,1,0.851428571,core
RNU4ATAC,3,0.24244898,unstable
RP1,0,0.585,peripheral
RP1L1,2,0.105098039,unstable
RP2,0,0.792222222,core
RPE65,6,0.7136,core
RPGR,12,0.857142857,core
RPGRIP1,4,0,unstable
RS1,10,0.914,core
RTN4IP1,0,0.795,core
SACS,1,0.851428571,core
SAG,10,0.914,core
SAMD7,0,0.795,core
SCAPER,7,0.992,core
SCLT1,7,0.992,core
SDCCAG8,7,0.992,core
SDHA,5,0.112857143,unstable
SDHB,5,0.407142857,peripheral
SERAC1,2,0.245490196,unstable
SGSH,1,0.254285714,unstable
SIX6,4,0.15625,unstable
SLC19A2,4,0.73875,core
SLC19A3,1,0.697857143,peripheral
SLC24A1,10,0.914,core
SLC24A5,8,0.9984,core
SLC25A46,2,0.130196078,unstable
SLC38A3,2,0.01254902,unstable
SLC38A8,8,0.9984,core
SLC44A1,1,0.502857143,peripheral
SLC45A2,8,0.9984,core
SLC52A2,3,0.031020408,unstable
SLC6A6,10,0.466,peripheral
SNF8,2,0.214901961,unstable
SNRNP200,0,0.795,core
SNX10,2,0.010980392,unstable
SOX2,4,0.15625,unstable
SPATA7,6,0.7136,core
SPG11,1,0.851428571,core
SPG7,1,0.851428571,core
SPTLC1,1,0.851428571,core
SRD5A3,2,0.069019608,unstable
ST3GAL5,2,0.023529412,unstable
STAMBP,2,0,unstable
STN1,3,0,unstable
STX3,6,0,unstable
SUMF1,1,0.254285714,unstable
TEAD1,0,0.726666667,core
TFG,1,0.851428571,core
